target,target_name,render_seed,submission_rank,branch,iteration,candidate_index,prompt,render,top3_render,clip_similarity,lpips,pixel_mse,pixel_rmse,rank_clip,rank_lpips,rank_mse,rank_composite
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,1,composite,4,78,"Glass brimming with amber-orange juice, topped with a slice of ripe orange, surrounded by scattered pieces of juicy fruit, photorealistic look, smooth surfaces!",outputs/phase4_s1234/1159_25/composite/iter04_02.png,outputs/phase4_s1234_top3/1159_25_rank1_composite_cand078.png,0.9423015713691711,0.382102906703949,0.020754650235176086,0.1440647393465042,9,3,3,5.0
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,2,composite,1,18,"Brightly lit glass containing rich orange juice, scattered pieces of juicy fruit around, natural colors, detailed rendering!",outputs/phase4_s1234/1159_25/composite/iter01_02.png,outputs/phase4_s1234_top3/1159_25_rank2_composite_cand018.png,0.9543294906616211,0.4523200988769531,0.021862603724002838,0.1478600800037384,1,29,5,11.667
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,3,composite,4,79,"Clear glass filled with rich orange juice, adorned with a slice of juicy orange, scattered pieces of fruit around, natural colors, highly rendered!",outputs/phase4_s1234/1159_25/composite/iter04_03.png,outputs/phase4_s1234_top3/1159_25_rank3_composite_cand079.png,0.9504052400588989,0.40783122181892395,0.02540517970919609,0.15939001739025116,3,10,25,12.667
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,1,lpips,7,128,"the lone palm tree rooted deeply in the ocean waves at sunset, broad leafy crown against a gradient sky transitioning into darker shades, photorealistic rendering, textured bark, rippling sea, subdued tones",outputs/phase4_s1234/1159_29/lpips/iter07_02.png,outputs/phase4_s1234_top3/1159_29_rank1_lpips_cand128.png,0.9244781732559204,0.6478585600852966,0.03152545168995857,0.17755408585071564,10,25,24,19.667
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,2,lpips,2,29,"the palm tree on the beach at sunset, vibrant green leaves against dusky purple sky, photorealistic rendering, thickened trunk, rippling sea, cool saturation levels",outputs/phase4_s1234/1159_29/lpips/iter02_03.png,outputs/phase4_s1234_top3/1159_29_rank2_lpips_cand029.png,0.9237375855445862,0.6622664928436279,0.029700085520744324,0.1723371297121048,15,44,8,22.333
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,3,lpips,7,127,"the solitary palm tree standing firm amid the ocean shallows at sunset, broad leafy crown against a gradient sky transitioning into darker shades, photorealistic rendering, detailed bark pattern, rippling water, muted tones",outputs/phase4_s1234/1159_29/lpips/iter07_01.png,outputs/phase4_s1234_top3/1159_29_rank3_lpips_cand127.png,0.9195793867111206,0.6478942036628723,0.031281497329473495,0.17686575651168823,25,26,19,23.333
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,1,mse,3,52,"a female character with fire emanating from her hands , wearing futuristic armor with a sword at her side , inspired by mandyl jurgens ' art , featuring ash blond hair , depicted in yanjun cheng 's style , showing intense anger , rendered as an official character illustration , illuminated by a fireball , captured",outputs/phase4_s1234/1159_3/mse/iter03_01.png,outputs/phase4_s1234_top3/1159_3_rank1_mse_cand052.png,0.837230920791626,0.5519590377807617,0.03462760150432587,0.18608492612838745,2,2,35,13.0
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,2,mse,5,88,"a female character with fire emanating from her hands , dressed in futuristic armor holding a glowing sword , inspired by mandyl jurgens ' art , featuring ash blond hair , by yanjun cheng 's style , displaying intense anger , rendered as an official character illustration , illuminated by a fireball , dynamic pose empha",outputs/phase4_s1234/1159_3/mse/iter05_01.png,outputs/phase4_s1234_top3/1159_3_rank2_mse_cand088.png,0.8168803453445435,0.5567000508308411,0.029653890058398247,0.17220304906368256,24,4,11,13.0
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,3,mse,5,91,"a female character with fire bursting forth from her hands , encased in advanced armor with a sword resting nearby , influenced by mandyl jurgens ’, featuring ash blond hair , styled after yanjun cheng ’ s work , portraying palpable rage , presented as an official character portrait",outputs/phase4_s1234/1159_3/mse/iter05_04.png,outputs/phase4_s1234_top3/1159_3_rank3_mse_cand091.png,0.8181465268135071,0.5514600872993469,0.034265436232089996,0.18510925769805908,20,1,34,18.333
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,1,lpips,7,129,"Hedgehog, light tan fur, minuscule hedgehog nestled between sugary blocks, Kim Keever’s sculpture, SCP-914, detailed design, crisscross spikes, glass-like cube, outrageously fluffy, fuzzy cap, surrealistic ambiance, diffused light",outputs/phase4_s1234/1159_7/lpips/iter07_03.png,outputs/phase4_s1234_top3/1159_7_rank1_lpips_cand129.png,0.7751995921134949,0.572130560874939,0.018656251952052116,0.13658788800239563,10,17,6,11.0
