target,target_name,render_seed,submission_rank,branch,iteration,candidate_index,prompt,render,top3_render,clip_similarity,lpips,pixel_mse,pixel_rmse,rank_clip,rank_lpips,rank_mse,rank_composite
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,1,mse,5,96,"Glass filled with bright orange juice, scattered citrus slices, glossy surface, warm ambient light, precise details!, subtle earthy tone",outputs/phase4_s3456/1159_25/mse/iter05_05.png,outputs/phase4_s3456_top3/1159_25_rank1_mse_cand096.png,0.9423248171806335,0.392635703086853,0.02014079876244068,0.14191828668117523,10,2,2,4.667
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,2,clip,11,206,"Amber-colored juice in a clear glass, topped with a halved orange, scattered pieces, earthy brown backdrop, soft ambient light, photostock vibe!",outputs/phase4_s3456/1159_25/clip/iter11_05.png,outputs/phase4_s3456_top3/1159_25_rank2_clip_cand206.png,0.9567601680755615,0.4298544228076935,0.021430931985378265,0.1463930755853653,2,9,8,6.333
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,3,clip,11,203,"Golden-yellow juice in a clear glass, garnished with an orange wedge, scattered pieces, earthy brown backdrop, diffused light, photostock vibe!",outputs/phase4_s3456/1159_25/clip/iter11_02.png,outputs/phase4_s3456_top3/1159_25_rank3_clip_cand203.png,0.963081955909729,0.4347318410873413,0.023448936641216278,0.1531304568052292,1,10,13,8.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,1,mse,2,35,"single palm tree looming over gently swaying waves approaching sandy coastlines, ethereal dusk illuminating distant mountains beyond, intricate network of veins running along leafy branches, harmonious blend of organic forms and fluid motion",outputs/phase4_s3456/1159_29/mse/iter02_05.png,outputs/phase4_s3456_top3/1159_29_rank1_mse_cand035.png,0.9046750068664551,0.6022293567657471,0.030021043494343758,0.17326581478118896,15,3,2,6.667
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,2,clip,2,25,"the solitary palm tree standing strong amidst tranquil waves near sandy shore bathed in evening glow, lush foliage contrasting deep azure hues, rich",outputs/phase4_s3456/1159_29/clip/iter02_04.png,outputs/phase4_s3456_top3/1159_29_rank2_clip_cand025.png,0.9011532068252563,0.6104496717453003,0.027250168845057487,0.16507625579833984,20,6,1,9.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,3,mse,7,109,"lone palm tree with verdant fronds against glowing sky, robust trunk, rocky pedestal, soothing waves wash sandy shore, ambient light enhances natural beauty, photorealistic render",outputs/phase4_s3456/1159_29/mse/iter07_02.png,outputs/phase4_s3456_top3/1159_29_rank3_mse_cand109.png,0.8847511410713196,0.6205168962478638,0.031822796911001205,0.17838945984840393,53,12,8,24.333
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,1,composite,10,167,"Determined ash-haired female warrior unleashing fire, detailed metal gear, swirling flames, strong posture, atmospheric mood, rich palette, saturated shades, subtle gradients, clear contrasts, refined artistry, captivating scene",outputs/phase4_s3456/1159_3/composite/iter10_03.png,outputs/phase4_s3456_top3/1159_3_rank1_composite_cand167.png,0.8319863677024841,0.5797523260116577,0.03202985227108002,0.1789688616991043,8,4,7,6.333
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,2,clip,6,89,"Ash-haired female warrior unleashing fire, detailed silver armor, dynamic pose, fiery backdrop, sharp contrast colors, intense expression, warm amber shades, balanced framing",outputs/phase4_s3456/1159_3/clip/iter06_05.png,outputs/phase4_s3456_top3/1159_3_rank2_clip_cand089.png,0.8275007605552673,0.5917434692382812,0.03870292380452156,0.1967305839061737,13,9,44,22.0
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,3,composite,1,20,"a determined blonde warrior unleashing fire, detailed metal gear, swirling flames, strong posture, shadowy setting, bright highlights, muted base color, bold accents, fine detailing, energetic vibe, precise rendering",outputs/phase4_s3456/1159_3/composite/iter01_04.png,outputs/phase4_s3456_top3/1159_3_rank3_composite_cand020.png,0.8234964609146118,0.6093217134475708,0.03382110223174095,0.18390513956546783,24,37,12,24.333
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,1,composite,9,181,"Hedgehog, light tan fur, small hedgehog resting on sugary cubes, Kim Keever-inspired art, SCP-914, checkered spikes, see-through cube, outrageously fluffy, feathered head, warm-toned lighting, slightly tilted rightwards",outputs/phase4_s3456/1159_7/composite/iter09_05.png,outputs/phase4_s3456_top3/1159_7_rank1_composite_cand181.png,0.7896416187286377,0.5490277409553528,0.017410054802894592,0.13194715976715088,2,7,16,8.333
